GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IQGame,default,IQGame,134,0,16,0,27,0,13,0,5,0
IQGame,default,Settings,27,0,0,0,10,0,5,0,5,0
IQGame,default,Main,27,0,0,0,6,0,2,0,2,0
IQGame,models,Wall,0,5,0,0,0,2,0,1,0,1
IQGame,models,Direction.DirectionConstant,0,44,0,0,0,5,0,1,0,1
IQGame,models,GameField,91,131,16,26,21,31,14,18,4,7
IQGame,models,Goal,0,6,0,0,0,2,0,1,0,1
IQGame,models,Position,20,99,3,13,1,18,4,11,1,6
IQGame,models,Color,0,44,0,0,0,5,0,1,0,1
IQGame,models,Direction,3,54,4,16,1,9,5,7,1,1
IQGame,models,ColorGameObject,0,15,0,0,0,6,0,3,0,3
IQGame,models,GameObject,5,50,2,6,2,14,3,5,1,3
IQGame,models,Ball,0,56,0,8,0,17,0,7,0,3
IQGame,views.widgets.gameobject,GoalWidget,71,0,4,0,13,0,5,0,3,0
IQGame,views.widgets.gameobject,GameObjectWidget,31,0,2,0,7,0,4,0,3,0
IQGame,views.widgets.gameobject,BallWidget,71,0,4,0,13,0,5,0,3,0
IQGame,views.widgets.gameobject,WallWidget,25,0,4,0,6,0,4,0,2,0
IQGame,views.widgets.gameobject,GameFieldWidget,134,0,20,0,34,0,16,0,6,0
IQGame,views.widgets.developer,GridWidget,44,0,4,0,10,0,4,0,2,0
IQGame,views.widgets.developer,CellPositionWidget,49,0,4,0,10,0,4,0,2,0
IQGame,controllers,BallMovementController,122,0,8,0,35,0,16,0,12,0
IQGame,views,GameObjectView,19,0,0,0,3,0,3,0,3,0
IQGame,views,AssetSettings,3,0,0,0,1,0,1,0,1,0
IQGame,levels,LevelTest,0,116,0,0,0,13,0,4,0,4
IQGame,levels,LevelBuilder,0,18,0,0,0,4,0,2,0,2
IQGame,levels,LevelDirector,60,0,2,0,10,0,5,0,4,0
IQGame,levels,Level2,187,0,4,0,20,0,6,0,4,0
IQGame,levels,Level1,369,0,0,0,36,0,4,0,4,0
IQGame,views.widgets.environment,BackgroundWidget,49,0,4,0,10,0,5,0,3,0
IQGame,views.widgets.environment,EndScreenWidget,19,0,0,0,6,0,3,0,3,0
IQGame,views.widgets.environment,ArrowWidget,62,0,4,0,20,0,8,0,5,0
